"Layer","Head","Prompt","Input_Type","Comment"
7,5,15,1,"attention in blocks: regions are determined by horizontal and vertical lines at query fact in theory, as well as the vertical sep-lines: a lot of noise in blocks on main diagonal, no noise outside of these regions"
7,6,15,1,"slight attention in small blocks on mail diagonal"
7,6,15,1,"strong vertical sep-lines"
7,6,15,1,"cls tokens attend to whole query region"
7,7,15,1,"again tokens attending to previous tokens, most strongly subject and properties to respecitively delimiters and 'is' like before"
7,7,15,1,"agains cls tokens attending to whole query region"
7,7,15,1,"leakage at query fact in theory position in to query region bordered by vertical sep lines"
7,8,15,1,"a lot of noise, with 'is' attending to consecutive dot, subjects attending to consecutive 'is'"
7,8,15,1,"relevant (no in common part) of rule attends to 'are' token"
7,8,15,1,"premise attends to 'then' following it starting the consequence"
7,8,15,1,"like often seen previously, also leakage at last dot of theory (maybe aggregation of representation of theory here?)"
7,8,15,1,"leakage into query region at query fact in theory position"
7,9,15,1,"lower triangular pattern: tokens attending to previous token(s), most notably statements attend to preceding delimiter, i.e. fact to preceding dot, consequence of rule to preceding comma, etc."
7,10,15,1,"O-pattern for facts (which are not in query):"
7,10,15,1,"preceding dot attends to following fact"
7,10,15,1,"its 'is' token attends to the fact"
7,10,15,1,"subject attends to subject and property, but NOT to 'is'"
7,10,15,1,"cls tokens attending to 'is' and property of query fact in query"
7,10,15,1,"also query fact in theory attending to these 2 tokens of query fact in query"
7,10,15,1,"also again last dot attending to these 2 tokens of query fact in query"
7,10,15,1,"also query fact itself attending to these two tokens of query fact in query"
7,10,15,1,"subject and 'is' in premise and consequence attending to following property"
7,11,15,1,"'is' attends to subject in both premise and consequence of it-statement"
7,11,15,1,"-again cls tokens and subject of query fact in theory and in query and last dot of theory attending to first 2 cls tokens"
7,11,15,1,"cls tokens attend to query region, as well as last dot of theory"
7,11,15,1,"leakage into query region at position of query fact in theory"
7,11,15,1,"last dot of theory also again attends to query region (and itself)"
8,0,15,1,"delimiters attending to later tokens, most strongly to 'is' token of following statement"
8,0,15,1,"again cls tokens attending to query region"
8,0,15,1,"again leakage at query fact in theory postion into query region, also at position of last dot of theory"
8,0,15,1,"interestingly strongest attention to 'is' token of query fact for all these positions"
8,1,15,1,"strong vertical sep lines"
8,1,15,1,"further mostly noise"
8,2,15,1,"again attention patterns mostly inside block regions"
8,2,15,1,"cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject"
8,2,15,1,"furthermore tokens attending to next token, but not only to next token, also to other tokens of the same type as the next one (i.e. if a delimiter attends to its next token, being a subject, it also attends to several other subjects, albeit only in the theory)"
8,3,15,1,"again attention patterns mostly inside block regions, although only if-statement and query fact in thoery regions are hot"
8,3,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject"
8,3,15,1,"again  cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
8,4,15,1,"strong vertical lines"
8,4,15,1,"attention only in block regions which are not the regions including the query fact"
8,4,15,1,"then attends strongly to 'if'"
8,5,15,1,"similar to delimiters in if-statement, now delimiters attending to statement right after them"
8,5,15,1,"'if' attending to the premise"
8,5,15,1,"'then' attending to the consequence"
8,5,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its 'is' token"
8,5,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
8,6,15,1,"tokens very slightly attending to previous tokens in statement"
8,6,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject"
8,6,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
8,7,15,1,"again cls tokens, as well as query fact in theory (but here only the preceding dot) and in query attend to query fact in query"
8,7,15,1,"again cls tokens, and query fact in theory (but here only the preceding dot) and query attend to cls tokens and last dot of theory"
8,7,15,1,"delimiters and 'is' attend to tokens in tokens in second block (implicit if-statement block)"
8,7,15,1,"in if-statement block region: minecraft pig pattern: delimiters 'if' and 'then' attending to following and/or preceding statement(s) (premise and consequence)"
8,7,15,1,"subject of statements attend to body of premise and consequence"
8,7,15,1,"'is' of statements attends to body or premise and consequence but most strongly to subject and property of those statements"
8,8,15,1,"strong vertical lines, but not at location of blocks (regions separated by lines at positions of query fact in theory and query)"
8,8,15,1,"at these blocks strong attention to tokens inside that block, weak attention to tokens in other block"
8,9,15,1,"attention inside of block regions determined by seperation of theory into statements"
8,9,15,1,"most notably statements attending to their own property (at the end of the statement)"
8,9,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject"
8,9,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
8,10,15,1,"strong vertical lines except for where attention is given to other tokens (of course since sum has to be 1 (attentions are normalized))"
8,10,15,1,"block regions attending to their own tokens, albeit mostly to subject and properties of their statements, no so much to 'is' and delimiters"
8,11,15,1,"attention inside block regions"
8,11,15,1,"no notable (sub) patterns inside of blocks"
8,11,15,1,"again vertical lines"
9,0,15,1,"fact tokens attending to themselves"
9,0,15,1,"implicit if-statement tokens attending in no clear pattern"
9,0,15,1,"if-statement attending to properties at end of both its premise and consequence"
9,0,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject"
9,0,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
9,1,15,1,"no clear pattern here"
9,1,15,1,"if-statement attending to subject and property tokens of its own statements"
9,1,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject and 'is' token"
9,1,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
9,2,15,1,"attention inside blocks, interestingly, some further subdivision between facts and implicit rule in second block region, at least in the horizontal direction"
9,2,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query"
9,2,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
9,3,15,1,"again attention inside block regions, even more clear subdivision between facts and rule in second block"
9,3,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query"
9,3,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
9,4,15,1,"attention inside blocks, interestingly mostly to subject and property blocks, at least clearly in second block"
9,4,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject and 'is' token"
9,4,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
9,5,15,1,"second block region: attention of all tokens (except delimiters between statements i.e. facts and implicit rule) to all subjects and properties in this block"
9,5,15,1,"if-statement attends to last property tokens of both premise and consequence"
9,5,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject"
9,5,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
9,6,15,1,"tokens attending to themselves and other similar structures, i.e. form 'subject is property' attends to other similar forms"
9,6,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject and 'is' token"
9,6,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
9,7,15,1,"again attention inside second block: tokens attending to subjects and properties, mostly to nearby ones"
9,7,15,1,"again if-statement attending to properties of both premise and consequence"
9,7,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject"
9,7,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
9,8,15,1,"no clear pattern, except for dots attending to first token of implicit if-statement"
9,8,15,1,"tokens of premise and consequence attending to property of premise"
9,8,15,1,"also strong attention to tokens outside of main diagonal block regions: tokens of second block attending to property of premise of if-statement"
9,8,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject"
9,8,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
9,9,15,1,"no clear pattern except:"
9,9,15,1,"vertical lines at sep tokens"
9,9,15,1,"in-block region attention: mostly attention of several tokens to properties inside block (also some outside block)"
9,10,15,1,"vertical sep lines"
9,10,15,1,"again attention inside (ans slightly outside) blocks of several tokens (mostly 'is' and delimiters) to subject and properties in block"
9,11,15,1,"only strong vertical sep lines"
10,0,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject"
10,0,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
10,0,15,1,"apart from that mostly noise in and between blocks"
10,1,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject"
10,1,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
10,1,15,1,"and strong vertical sep lines"
10,2,15,1,"only very strong vertical sep lines"
10,3,15,1,"very slightly"
10,3,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject"
10,3,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
10,3,15,1,"but mostly: very strong vertical sep lines"
10,4,15,1,"only very strong vertical sep lines"
10,5,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject"
10,5,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
10,5,15,1,"again outside of these regions very strong vertical sep lines"
10,6,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject"
10,6,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
10,6,15,1,"again outside of these regions very strong vertical sep lines"
10,7,15,1,"very strong vertical sep lines"
10,8,15,1,"very strong vertical sep lines"
10,8,15,1,"apart from non-query-fact regions: here attention inside and also between regions of all tokens to subject and property tokens, most strongly to subject of last fact in theory"
10,9,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject"
10,9,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
10,9,15,1,"again outside of these regions very strong vertical sep lines"
10,10,15,1,"tokens attending to themselves (diagonal)"
10,10,15,1,"again all tokens of second block attending to subject and property of last fact in theory"
10,10,15,1,"tokens in non-query-fact regions attend to properties of premise and consequence of if-statement"
10,10,15,1,"again cls tokens, and query fact in theory and query attend to query facts in theory and query, most strongly to its subject"
10,10,15,1,"again cls tokens, and query fact in theory and query attend to cls tokens and last dot of theory"
10,11,15,1,"again only very strong vertical sep lines"
3,0,17,3,"here already clear that query fact is not in theory"
3,10,17,3,"less pronounced than prompt 15"
3,10,17,3,"more pronounced than prompt 15"
4,3,17,3,"more pronounced"
4,3,17,3,"picks up on the property of the consequence being the same as the one of the query"
4,3,17,3,"picks up on the fact in the theory and the query having the same subject (and 'is' token) (but not the same property)"
6,0,17,3,"also changed compared to prompt 15, seems to pick up on properties (and 'is') tokens which are relevant to the prediction, in both fact in theory and query and if-statements"
6,0,17,3,"shifted compared to prompt 15 to relevant fact => picks up on relevant subject"
6,1,17,3,"vertical pattern shifted from relevant subject for prompt 15 to relevant subject for this query (gary) in theory"
6,2,17,3,"in this region now also attention, not for prompt 15"
6,2,17,3,"picks up on property 'cold' being relevant"
6,2,17,3,"less pronounced"
6,3,17,3,"property now gives attention to itself as well, not for prompt 15"
6,3,17,3,"no leakage at query property position into query region"
6,4,17,3,"picks up on if-statement being important"
6,4,17,3,"picks up on this fact being not as important"
6,4,17,3,"cls tokens and similar (and relevant) token sequences attending to relevant query has shifted to relevant query"
6,5,17,3,"picks up on this fact being important"
6,5,17,3,"picks up on fact being not important compared to prompt 15"
6,5,17,3,"premise has become less important, consequence stays important"
6,6,17,3,"property has become more important"
6,6,17,3,"last dot of theory attends to subject of query"
6,7,17,3,"attends to relevant fact for prompt 15, whereas for prompt 15 the head attends to the relevant fact for this query"
6,7,17,3,"interestingly, now the if-statement is more important and the fact relevant for prompt 15 less (these respectively do and do not attend)"
6,8,17,3,"attention by relevant statements to subject of relevant fact in theory"
6,8,17,3,"same property as in query in if-statement is attended to by itself and property in query"
6,9,17,3,"quiet not attending to 'is'"
6,9,17,3,"attention to subject of relevant fact is new"
6,9,17,3,"this angle is different, property attending to subject and 'is' instead of preceding dot"
6,9,17,3,"now attention to 'quiet' instead of 'then'"
6,10,17,3,"again attention (by relevant tokens and cls tokens) to property of consequence (which is relevant)"
6,10,17,3,"this pattern shifted from relevant fact for prompt 15 to relevant fact for this prompt"
6,10,17,3,"almost no attention in if-statement"
6,11,17,3,"only here difference, where previously you could see a 3-pixel triangle (like in query to query attention), the diagonal pattern simply continues here, as this fact is this time not relevant"
7,0,17,3,"only this vertical lines different: where previously there was no attention form 'erin is rough' to the dot it attends to, there is now"
7,0,17,3,"no subblocks in if-statement"
7,0,17,3,"no strong attention to preceding dot like for prompt 15, but start of block forming, now for this last fact, where previously for the relevant fact for prompt 15 (in another location)"
7,1,17,3,"different pattern for if-statement"
7,1,17,3,"now same L-pattern for this fact as for other non-relevant facts as now it is also not relevant"
7,1,17,3,"interestingly useful parts of premise and consequence (the parts that differ between premises and consequences = 'is' and property, but mostly property) attend to relevant fact and query now as well, as now the if-statement is also relevant, not for prompt 15"
7,1,17,3,"notice this attention to the query (and relevant fact in the theory) by the last dot of the theory however has stayed the same (but now shifted to relevant fact in theory)"
7,1,17,3,"block forming shifted, now all 'gary is ...' facts attend slightly to each other"
7,2,17,3,"no block forming anymore but continuation of diagonal pattern like for other parts of theory"
7,2,17,3,"again slight attention to query from if-statement"
7,2,17,3,"no continuation of diagonal pattern for 'gary is quiet' anymore, but now cross attention  and block region as this is now a relevant fact"
7,2,17,3,"attention from extra (relevant) parts to 'quiet'"
7,3,17,3,"overal same pattern but these two attentions way stronger (twice as strong)"
7,4,17,3,"again if-statement seeping into query region"
7,4,17,3,"more attention (noise) between relevant fact in theory and query"
7,4,17,3,"shifted to relevant part, not anymore at 'erin is rough'"
7,4,17,3,"'is' attends to itself, where previously property to subject of premise"
7,4,17,3,"now consequence attends to premise, where previously only to itself"
7,5,17,3,"no sub blocks in if-statement anymore, also less attention"
7,5,17,3,"attends again as now not relevant anymore"
7,5,17,3,"no attention anymore in relevant part"
7,6,17,3,"leakage at relevant if-statement into query"
7,6,17,3,"leakage at relevant fact into query"
7,7,17,3,"query attending to 'is' of relevant fact in theory"
7,7,17,3,"relevant tokens and cls tokens attending to relevant premise"
7,7,17,3,"leakage at relevant fact into query"
7,7,17,3,"leakage at relevant if-statement into query"
7,8,17,3,"if-statement attending and attended to differently"
7,8,17,3,"now irrelevant fact acting the same as other irrelevant parts of input"
7,8,17,3,"leakage at relevant if-statement into query"
7,8,17,3,"leakage at relevant fact into query"
7,8,17,3,"also relevant fact attended to by itself and query, as well as cls tokens"
7,9,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
7,10,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact (i.e. irrelevant fact now also O-pattern, relevant fact now also attending to 'is' and property of query)"
7,11,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
8,0,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
8,2,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
8,3,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
8,4,17,3,"if-statement attending differently"
8,4,17,3,"again relevant fact attending as relevant part, now irrelevant fact attending like an irrelevant fact"
8,5,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
8,6,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
8,7,17,3,"if-statement attending differently"
8,7,17,3,"again relevant fact attending as relevant part, now irrelevant fact attending like an irrelevant fact"
8,8,17,3,"again now attention as statement irrelevant"
8,8,17,3,"again no attention as these statements relevant"
8,8,17,3,"stronger leakage"
8,9,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
8,9,17,3,"noticeable strong attention from 'if' to 'then' and way weaker attention from and to other tokens in if-statement"
8,10,17,3,"again less attention in if-statement apart from 1 pixel: they attending to 'someone'which it refers to"
8,10,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
8,11,17,3,"again less attention in if-statement apart from 1 pixel: 'someone' attending to itself"
8,11,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
9,0,17,3,"very different pattern: now follows same diaongal type pattern, whereas for prompt 15 vertical pattern of whole statemetn attending to properties of premise and consequence"
9,0,17,3,"similar pattern as for 'gary is quiet' for prompt 15 (where it is irrelevant)"
9,0,17,3,"strong attention seems to have shifted from last token (property) in theory to what is now last (irrelevant) token (property) in theory"
9,0,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
9,1,17,3,"again quite different: instead of whole if-statement attending to certain tokens, differen pattern, similar subpattern for premise and consequence"
9,1,17,3,"very strong attention form 'they' to 'someone' which it refers to"
9,1,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
9,2,17,3,"again quite different if-statement pattern"
9,2,17,3,"interestingly 'if' attends very strongly to itself"
9,2,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
9,3,17,3,"again very different if-statement pattern"
9,3,17,3,"interestingly very similar to the one for the previous head (a9.2)"
9,3,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
9,4,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
9,4,17,3,"again very different if-statement pattern"
9,4,17,3,"interestingly similar to the one for the previous heads (a9.2, a9.3, a9.0, a 9.1)"
9,5,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
9,5,17,3,"again very different if-statement pattern"
9,5,17,3,"interestingly similar to the one for the previous heads (a9.2, a9.3, a9.0, a 9.1, a9.4)"
9,6,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
9,6,17,3,"again very different if-statement pattern"
9,7,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
9,7,17,3,"again very different if-statement pattern"
9,7,17,3,"interestingly similar to the one for the previous heads (a9.2, a9.3, a9.0, a 9.1, a9.4)"
9,8,17,3,"also new"
9,8,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
9,8,17,3,"again very different if-statement pattern"
9,8,17,3,"interestingly similar to the one for the previous heads (a9.2, a9.3, a9.0, a 9.1, a9.4, a9.7)"
9,9,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
9,9,17,3,"if-statement relevant = little to no attention in this block in this case"
9,10,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
9,10,17,3,"if-statement relevant = little to no attention in this block in this case"
10,0,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
10,1,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
10,2,17,3,"only noticeable difference is this vertical line appearing(but very slightly, perhaps even insignificant"
10,3,17,3,"again this line appearing, now also horizontal, and compared to intensity of other attentions relevant to prompt, not insignicant, although maybe these are insignificant themselves"
10,3,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
10,4,17,3,"again vertical line"
10,5,17,3,"now some significantly strong attention in if-statement"
10,5,17,3,"again vertical lines, but now shorter: not in horizontal regions where there is already attention to other tokens"
10,5,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
10,6,17,3,"again vertical line, again mostly in regions where there is no attention to other tokens (except sep tokens)"
10,6,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
10,7,17,3,"again slightly vertical line"
10,8,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
10,9,17,3,"again slight vertical line"
10,9,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
10,10,17,3,"again if-statement and relevant fact attending as relevant parts, now irrelevant fact attending like an irrelevant fact"
10,11,17,3,"again only slight vertical line"
10,11,17,3,"(and some if-statement tokens attending very slightly)"
3,0,18,4,"does not seem to take notion of  'not' except here"
3,4,18,4,"not seems less important than subject and property, but more important than 'is' -> make sense as it says less about the world than a subject paired with a property, but more than 'is', which is simply a connective or indication of a proposition about the subject to connect the property with the subject"
3,5,18,4,"property attends strongly to 'not' (which negates that property)"
3,6,18,4,"-  again not more important than 'is' but less so than the subjext and property"
3,6,18,4,"interestingly attends to 'if'"
3,8,18,4,"is attends to 'not', useful as 'not' says something about whether the subject is or is not of course"
3,9,18,4,"not attends together with other first tokens of query to property of query"
3,10,18,4,"property also attends to not"
3,10,18,4,"again not attends to its property"
3,11,18,4,"similarly as in prompt 17 tokens of query after subject attends to subject (now thus including 'not')"
6,2,18,4,"important difference with prompt 17: 'not' attends to 'cold', same property as in query, but of course here cold is not negated => might be key and first indication/connection/reasoning step to the fact that query is not entailed"
6,3,18,4,"once more query property attends to not"
6,4,18,4,"last dot of theory and dot of query attend to 'not'"
6,5,18,4,"cls tokens and two dots attend to 'not'"
6,6,18,4,"slight relevant attentions to 'not'"
6,7,18,4,"slight relevant attention to 'not'"
6,8,18,4,"again slight relevant attentions to 'not'"
6,9,18,4,"not attending to relevant tokens"
